FULL NAME,TEAM,POS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,START_POSITION_1,START_POSITION_2,START_POSITION_3,START_POSITION_4,PTS/SEC
Obi Toppin,New York Knicks,F,0.619,0.273,0.727,2.2,0.5,0.25,0.23,0,1,0,0,0.005952381
Darius Bazley,Oklahoma City Thunder,F,0.492,0.291,0.703,7.4,1.5,0.49,0.59,0,1,0,0,0.006709957
Tony Bradley,Oklahoma City Thunder,C,0.672,0,0.714,6.8,1,0.42,0.92,1,0,0,0,0.007823129
Moses Brown,Oklahoma City Thunder,C,0.546,0,0.62,8.5,0.1,0.57,1.14,1,0,0,0,0.006984127
Hamidou Diallo,Oklahoma City Thunder,G,0.512,0.293,0.629,5.2,2.4,0.97,0.38,0,0,1,0,0.008333333
Luguentz Dort,Oklahoma City Thunder,G,0.46,0.351,0.727,3.6,1.6,0.98,0.38,0,0,1,0,0.007826577
Shai Gilgeous-Alexander,Oklahoma City Thunder,G,0.547,0.418,0.808,4.7,5.9,0.77,0.66,0,0,1,0,0.011721068
Josh Hall,Oklahoma City Thunder,F,0.28,0.1,0.586,2,1.3,0,0,0,1,0,0,0.003494624
George Hill,Oklahoma City Thunder,G,0.619,0.386,0.84,2.1,3.1,0.86,0.14,0,0,1,0,0.00747782
Jaylen Hoard,Oklahoma City Thunder,F,0.484,0,0.789,3.3,1,0.71,0.14,0,1,0,0,0.00552677
Al Horford,Oklahoma City Thunder,C,0.51,0.368,0.818,6.7,3.4,0.89,0.93,1,0,0,0,0.008482676
Justin Jackson,Oklahoma City Thunder,F,0.515,0.306,0.857,2.2,1.5,0.45,0.06,0,1,0,0,0.007272727
Ty Jerome,Oklahoma City Thunder,G,0.439,0.4,0.696,2.8,3.6,0.58,0.17,0,0,1,0,0.006707317
Theo Maledon,Oklahoma City Thunder,G,0.408,0.339,0.728,3.5,3.3,0.9,0.12,0,0,1,0,0.005839416
Darius Miller,Oklahoma City Thunder,F,0.833,0.405,1,1.3,1.2,0.67,0.28,0,1,0,0,0.006269113
Mike Muscala,Oklahoma City Thunder,F,0.614,0.37,0.917,3.8,0.8,0.23,0.31,0,1,0,0,0.008786232
Svi Mykhailiuk,Oklahoma City Thunder,G,0.571,0.329,0.667,3.2,1.5,0.82,0.18,0,0,1,0,0.006824713
Aleksej Pokusevski,Oklahoma City Thunder,C,0.397,0.274,0.846,4.9,2,0.41,1.15,1,0,0,0,0.005367232
Justin Robinson,Oklahoma City Thunder,G,0.6,0.308,0.6,1,1.3,0.33,0,0,0,1,0,0.004820937
Isaiah Roby,Oklahoma City Thunder,F,0.551,0.338,0.716,5.7,1.9,0.81,0.68,0,1,0,0,0.006312057
Kenrich Williams,Oklahoma City Thunder,G,0.564,0.441,0.58,4.1,2.2,0.77,0.21,0,0,1,0,0.005849359
Chuma Okeke,Orlando Magic,F,0.473,0.353,0.743,4,2.2,0.93,0.53,0,1,0,0,0.004945799
Otto Porter Jr.,Orlando Magic,F,0.5,0.111,1,4.7,1.7,1.33,0,0,1,0,0,0.006006006
Chasson Randle,Orlando Magic,G,0.408,0.37,0.8,1.7,1.8,0.46,0.08,0,0,1,0,0.004529915
Terrence Ross,Orlando Magic,G,0.469,0.337,0.87,3.4,2.4,1.02,0.46,0,0,1,0,0.00887372
Nikola Vucevic,Orlando Magic,C,0.515,0.406,0.827,11.8,3.8,0.95,0.64,1,0,0,0,0.011974585
Al-Farouq Aminu,Orlando Magic,F,0.5,0.226,0.824,5.4,1.7,1,0.53,0,1,0,0,0.004243827
Cole Anthony,Orlando Magic,G,0.42,0.303,0.849,4.5,4.2,0.63,0.47,0,0,1,0,0.007142857
Dwayne Bacon,Orlando Magic,G,0.446,0.305,0.846,3,1.2,0.54,0.07,0,0,1,0,0.00690571
Mo Bamba,Orlando Magic,C,0.553,0.382,0.606,4.4,0.5,0.18,0.97,1,0,0,0,0.009139785
Khem Birch,Orlando Magic,C,0.479,0.19,0.741,5.1,1.1,0.67,0.58,1,0,0,0,0.004461279
Jordan Bone,Orlando Magic,G,0.591,0.313,0,1.7,1.3,0.14,0,0,0,1,0,0.004761905
Devin Cannady,Orlando Magic,G,0.25,0.333,0.857,0.4,0.2,0.6,0.2,0,0,1,0,0.007650273
Wendell Carter Jr.,Orlando Magic,C,0.61,0.267,0.721,8.8,1.9,1,1,1,0,0,0,0.008451537
Michael Carter-Williams,Orlando Magic,G,0.431,0.246,0.613,4.5,4.1,0.81,0.55,0,0,1,0,0.005684755
Gary Clark,Orlando Magic,F,0.391,0.287,0.8,3.2,0.9,0.34,0.2,0,1,0,0,0.003113553
James Ennis III,Orlando Magic,F,0.504,0.436,0.815,4.1,1.5,0.82,0.18,0,1,0,0,0.005898491
Evan Fournier,Orlando Magic,G,0.536,0.388,0.797,2.9,3.7,1.04,0.35,0,0,1,0,0.010836084
Robert Franks,Orlando Magic,F,1,0.5,0.75,1.3,0.7,0,0.33,0,1,0,0,0.006761006
Markelle Fultz,Orlando Magic,G,0.42,0.25,0.895,3.1,5.4,1,0.25,0,0,1,0,0.007992565
Aaron Gordon,Orlando Magic,F,0.475,0.375,0.629,6.6,4.2,0.64,0.8,0,1,0,0,0.008276644
Donta Hall,Orlando Magic,C,0.667,0,0.8,5,2.5,1,1.5,1,0,0,0,0.004016064
R.J. Hampton,Orlando Magic,G,0.522,0.258,0.609,4.1,1.6,0.83,0.25,0,0,1,0,0.006845238
Gary Harris,Orlando Magic,G,0.306,0.462,0.882,1.4,3.2,0.6,0.6,0,0,1,0,0.007133593
Karim Mane,Orlando Magic,G,0.182,0.5,0.8,1.4,0.4,0,0.2,0,0,1,0,0.002083333
Frank Mason,Orlando Magic,G,0.368,0.4,0.714,3,3,0,0,0,0,1,0,0.00530303
Tony Bradley,Philadelphia 76ers,C,0.689,0,0.636,5.2,0.9,0.3,0.65,1,0,0,0,0.006365741
Ignas Brazdeikis,Philadelphia 76ers,F,0,0,0,2,0,0,0,0,1,0,0,0
Seth Curry,Philadelphia 76ers,G,0.48,0.41,0.894,2.2,2.8,0.77,0.18,0,0,1,0,0.006920415
Joel Embiid,Philadelphia 76ers,C,0.544,0.379,0.855,11.1,3,1.03,1.45,1,0,0,0,0.01552795
Terrance Ferguson,Philadelphia 76ers,G,0.5,0,0,0.1,0.2,0.08,0,0,0,1,0,0.000877193
Danny Green,Philadelphia 76ers,G,0.444,0.412,0.758,3.7,1.7,1.31,0.87,0,0,1,0,0.005672515
Tobias Harris,Philadelphia 76ers,F,0.555,0.407,0.886,7.2,3.6,0.92,0.88,0,1,0,0,0.01026026
Dwight Howard,Philadelphia 76ers,C,0.607,0.25,0.579,8.3,0.7,0.44,0.93,1,0,0,0,0.00651341
Isaiah Joe,Philadelphia 76ers,G,0.35,0.333,0.889,1,0.6,0.28,0.14,0,0,1,0,0.005612245
Mason Jones,Philadelphia 76ers,G,0.75,0.5,0,0.8,0.5,0,0,0,0,1,0,0.00982906
Furkan Korkmaz,Philadelphia 76ers,G,0.458,0.376,0.724,2.1,1.3,0.96,0.18,0,0,1,0,0.007993197
Dakota Mathias,Philadelphia 76ers,G,0.5,0.308,0.333,0.9,1.6,0.13,0.38,0,0,1,0,0.006493506
Tyrese Maxey,Philadelphia 76ers,G,0.5,0.282,0.868,1.5,1.6,0.34,0.15,0,0,1,0,0.008274232
Shake Milton,Philadelphia 76ers,G,0.507,0.338,0.852,2.3,3,0.65,0.27,0,0,1,0,0.009444444
Vincent Poirier,Philadelphia 76ers,C,0.273,0,0.333,1.3,0.2,0,0.3,1,0,0,0,0.003418803
Paul Reed,Philadelphia 76ers,F,0.553,0,0.25,1.8,0.4,0.29,0.41,0,1,0,0,0.006313131
Mike Scott,Philadelphia 76ers,F,0.441,0.333,0.6,2.6,0.6,0.54,0.19,0,1,0,0,0.004095238
Ben Simmons,Philadelphia 76ers,G,0.55,0.3,0.615,7.6,7.1,1.6,0.65,0,0,1,0,0.007407407
Matisse Thybulle,Philadelphia 76ers,G,0.575,0.307,0.5,1.9,0.9,1.49,1,0,0,1,0,0.003178694
Anthony Tolliver,Philadelphia 76ers,F,0,0,0,2,1,0,1,0,1,0,0,0
Rayjon Tucker,Philadelphia 76ers,G,0.333,0.5,1,0.8,0.3,0,0,0,0,1,0,0.007017544
Ty-Shon Alexander,Phoenix Suns,G,0.333,0.143,0.5,0.6,0.1,0,0.11,0,0,1,0,0.003645833
Deandre Ayton,Phoenix Suns,C,0.638,0.2,0.76,10.8,1.4,0.52,1.13,1,0,0,0,0.008251366
Devin Booker,Phoenix Suns,G,0.545,0.349,0.862,4.1,4.5,0.87,0.27,0,0,1,0,0.01264881
Mikal Bridges,Phoenix Suns,F,0.625,0.409,0.822,4.5,2.2,0.95,0.86,0,1,0,0,0.006645898
Jevon Carter,Phoenix Suns,G,0.556,0.371,0.5,1.5,1.2,0.43,0.18,0,0,1,0,0.005705706
Torrey Craig,Phoenix Suns,F,0.643,0.4,0.625,4.1,0.9,0.69,0.38,0,1,0,0,0.006603774
Jae Crowder,Phoenix Suns,F,0.48,0.387,0.761,4.9,2.1,0.83,0.4,0,1,0,0,0.005978261
Langston Galloway,Phoenix Suns,G,0.5,0.451,1,1,0.7,0.18,0,0,0,1,0,0.007207207
Cameron Johnson,Phoenix Suns,F,0.57,0.384,0.872,3.3,1.5,0.6,0.3,0,1,0,0,0.007010014
Damian Jones,Phoenix Suns,C,0.533,0,0.545,1.3,0.3,0.07,0.36,1,0,0,0,0.0039801
Frank Kaminsky,Phoenix Suns,F,0.5,0.4,0.564,3.6,1.6,0.29,0.38,0,1,0,0,0.007126437
E'Twaun Moore,Phoenix Suns,G,0.479,0.276,0.8,1.8,1.5,0.58,0.17,0,0,1,0,0.004942529
Abdel Nader,Phoenix Suns,F,0.534,0.419,0.757,2.6,0.8,0.42,0.38,0,1,0,0,0.007545045
Chris Paul,Phoenix Suns,G,0.533,0.362,0.931,4.6,8.7,1.49,0.18,0,0,1,0,0.008280255
Cameron Payne,Phoenix Suns,G,0.523,0.4,0.854,2.3,3.7,0.6,0.2,0,0,1,0,0.006992337
Dario Saric,Phoenix Suns,F,0.527,0.364,0.867,4.1,1.3,0.55,0.08,0,1,0,0,0.008945386
Jalen Smith,Phoenix Suns,F,0.5,0.182,0.333,1,0.1,0.05,0.1,0,1,0,0,0.004924242
Carmelo Anthony,Portland Trail Blazers,F,0.432,0.385,0.88,3.2,1.6,0.73,0.62,0,1,0,0,0.008994709
Keljin Blevins,Portland Trail Blazers,G,0.222,0,0,0.2,0.4,0.2,0,0,0,1,0,0.00130719
Robert Covington,Portland Trail Blazers,F,0.483,0.385,0.809,6.6,1.7,1.57,1.26,0,1,0,0,0.004620976
CJ Elleby,Portland Trail Blazers,F,0.591,0.222,0.636,1,0.2,0.29,0.14,0,1,0,0,0.005479452
Harry Giles III,Portland Trail Blazers,F,0.417,0.467,0.682,3.9,0.8,0.2,0.33,0,1,0,0,0.004692557
Rondae Hollis-Jefferson,Portland Trail Blazers,F,0.333,0,0.7,2,1.3,0.33,0,0,1,0,0,0.005505952
Rodney Hood,Portland Trail Blazers,G,0.41,0.298,0.75,1.9,1.2,0.53,0.11,0,0,1,0,0.004101222
Derrick Jones Jr.,Portland Trail Blazers,F,0.617,0.328,0.634,4,0.8,0.7,1.02,0,1,0,0,0.005054645
Enes Kanter,Portland Trail Blazers,C,0.608,0,0.784,11.8,1.3,0.5,0.71,1,0,0,0,0.007604563
Damian Lillard,Portland Trail Blazers,G,0.51,0.379,0.925,4.2,7.7,0.88,0.27,0,0,1,0,0.013324048
Nassir Little,Portland Trail Blazers,F,0.591,0.371,0.825,2.7,0.5,0.14,0.32,0,1,0,0,0.006028369
CJ McCollum,Portland Trail Blazers,G,0.492,0.396,0.818,3.9,4.7,1.06,0.52,0,0,1,0,0.011607143
Jusuf Nurkic,Portland Trail Blazers,C,0.51,0.348,0.589,7.5,3.1,0.95,0.95,1,0,0,0,0.006888889
Norman Powell,Portland Trail Blazers,G,0.511,0.353,0.846,3.3,1.7,1.58,0.5,0,0,1,0,0.008506429
Anfernee Simons,Portland Trail Blazers,G,0.387,0.413,0.81,2.3,1.4,0.21,0.13,0,0,1,0,0.007878788
Gary Trent Jr.,Portland Trail Blazers,G,0.438,0.397,0.773,2.2,1.4,0.9,0.15,0,0,1,0,0.008116883
Marvin Bagley III,Sacramento Kings,F,0.547,0.354,0.56,7.4,0.9,0.49,0.51,0,1,0,0,0.009014267
Harrison Barnes,Sacramento Kings,F,0.568,0.374,0.826,6.6,3.4,0.8,0.19,0,1,0,0,0.007208448
Nemanja Bjelica,Sacramento Kings,F,0.565,0.293,0.762,3.8,1.9,0.31,0.08,0,1,0,0,0.007100592
Terence Davis,Sacramento Kings,G,0.556,0.37,0.727,2.3,1.3,0.67,0.25,0,0,1,0,0.008064516
De'Aaron Fox,Sacramento Kings,G,0.545,0.323,0.713,3.5,7.2,1.48,0.46,0,0,1,0,0.011979167
Kyle Guy,Sacramento Kings,G,0.462,0.313,0.833,1,0.9,0.18,0,0,0,1,0,0.007004831
Tyrese Haliburton,Sacramento Kings,G,0.531,0.411,0.837,3,5,1.31,0.53,0,0,1,0,0.007023411
Maurice Harkless,Sacramento Kings,F,0.615,0.226,0.867,2.5,1.3,0.83,0.67,0,1,0,0,0.004204893
Buddy Hield,Sacramento Kings,G,0.449,0.382,0.833,4.5,3.1,0.84,0.38,0,0,1,0,0.008017493
Richaun Holmes,Sacramento Kings,F,0.651,0.2,0.797,8.9,1.7,0.68,1.64,0,1,0,0,0.007833333
Justin James,Sacramento Kings,G,0.52,0.294,0.417,0.4,0.6,0.12,0.04,0,0,1,0,0.005
DaQuan Jeffries,Sacramento Kings,G,0.517,0.321,0.857,1.6,0.3,0.39,0.22,0,0,1,0,0.004521964
Damian Jones,Sacramento Kings,C,0.5,0,0.333,2.3,0.7,1,0.33,1,0,0,0,0.002882206
Cory Joseph,Sacramento Kings,G,0.513,0.33,0.766,2.3,2.5,0.86,0.2,0,0,1,0,0.005116279
Chimezie Metu,Sacramento Kings,F,0.58,0.3,0.65,2.6,0.6,0.21,0.5,0,1,0,0,0.007706093
Jabari Parker,Sacramento Kings,F,0.667,0,0,2,0.3,0,0.33,0,1,0,0,0.004945055
Norvel Pelle,Sacramento Kings,C,0,0,0.75,1,1,0,0,1,0,0,0,0.013157895
Jahmi'us Ramsey,Sacramento Kings,G,1,0.333,0,0.8,0.2,0,0.2,0,0,1,0,0.006862745
Glenn Robinson III,Sacramento Kings,F,0.473,0.364,0.913,2,0.9,0.17,0.13,0,1,0,0,0.005486542
Chris Silva,Sacramento Kings,F,0.333,0,0,0.7,0,0,0,0,1,0,0,0.005072464
Hassan Whiteside,Sacramento Kings,C,0.559,0,0.526,6.1,0.6,0.26,1.35,1,0,0,0,0.009
Robert Woodard II,Sacramento Kings,F,0.6,0.25,0.375,1,0,0,0.18,0,1,0,0,0.01025641
Delon Wright,Sacramento Kings,G,0.449,0.4,0.913,2.8,2,1.17,0,0,0,1,0,0.006330128
LaMarcus Aldridge,San Antonio Spurs,C,0.509,0.36,0.838,4.5,1.7,0.38,0.86,1,0,0,0,0.008815959
Keita Bates-Diop,San Antonio Spurs,F,0.364,0.333,0.7,1.2,0.4,0.44,0.06,0,1,0,0,0.005
DeMar DeRozan,San Antonio Spurs,G,0.517,0.281,0.88,4.3,7.2,0.91,0.26,0,0,1,0,0.010392157
Gorgui Dieng,San Antonio Spurs,C,0.6,0.2,0.714,3,0.8,0.5,0.25,1,0,0,0,0.00530303
Drew Eubanks,San Antonio Spurs,F,0.56,1,0.683,4,0.8,0.35,1.03,0,1,0,0,0.006447689
Rudy Gay,San Antonio Spurs,F,0.442,0.385,0.789,5,1.5,0.75,0.6,0,1,0,0,0.008525346
Keldon Johnson,San Antonio Spurs,F,0.53,0.336,0.733,6.4,1.8,0.56,0.46,0,1,0,0,0.00748538
Tre Jones,San Antonio Spurs,G,0.442,1,1,0.5,0.5,0.23,0,0,0,1,0,0.006
Trey Lyles,San Antonio Spurs,F,0.58,0.35,0.652,3.7,0.6,0.26,0.04,0,1,0,0,0.00534188
Patty Mills,San Antonio Spurs,G,0.516,0.387,0.908,1.8,2.5,0.64,0.04,0,0,1,0,0.0078125
Dejounte Murray,San Antonio Spurs,G,0.488,0.329,0.802,6.9,5.2,1.6,0.11,0,0,1,0,0.008280591
Jakob Poeltl,San Antonio Spurs,C,0.623,0,0.419,8,1.8,0.61,1.65,1,0,0,0,0.00525641
Cameron Reynolds,San Antonio Spurs,F,0.5,0,0,0,0,0,0,0,1,0,0,0.005555556
Luka Samanic,San Antonio Spurs,F,0.605,0.25,0.524,2.1,0.5,0.22,0.26,0,1,0,0,0.006423611
Devin Vassell,San Antonio Spurs,G,0.42,0.408,0.879,2.8,0.9,0.82,0.31,0,0,1,0,0.005289421
Lonnie Walker IV,San Antonio Spurs,G,0.481,0.353,0.807,2.7,1.6,0.51,0.33,0,0,1,0,0.007349081
Quinndary Weatherspoon,San Antonio Spurs,G,0.429,0,0.875,0.4,0.3,0.31,0.13,0,0,1,0,0.004347826
Derrick White,San Antonio Spurs,G,0.467,0.343,0.851,2.7,3.4,0.71,1.03,0,0,1,0,0.008361582
OG Anunoby,Toronto Raptors,F,0.558,0.393,0.765,5.7,2,1.59,0.68,0,1,0,0,0.007474747
Aron Baynes,Toronto Raptors,C,0.529,0.237,0.73,5.1,0.9,0.3,0.4,1,0,0,0,0.005311355
DeAndre' Bembry,Toronto Raptors,G,0.605,0.273,0.698,2.7,1.9,0.79,0.36,0,0,1,0,0.004788214
Khem Birch,Toronto Raptors,C,0.516,0.5,0.636,6,0.8,1,1.4,1,0,0,0,0.005905512
Chris Boucher,Toronto Raptors,F,0.613,0.391,0.787,6.7,1.1,0.59,1.9,0,1,0,0,0.009504132
Terence Davis,Toronto Raptors,G,0.489,0.361,0.889,1.9,1.1,0.5,0.21,0,0,1,0,0.007931034
Henry Ellenson,Toronto Raptors,F,0.6,0.222,0.75,6,2.5,0,0.5,0,1,0,0,0.006510417
Malachi Flynn,Toronto Raptors,G,0.383,0.316,0.739,2.1,2.7,0.76,0.15,0,0,1,0,0.005491329
Freddie Gillespie,Toronto Raptors,F,0.68,0,0.833,3.8,0.5,0.5,1,0,1,0,0,0.006605691
Jalen Harris,Toronto Raptors,G,0,0.5,0,0.8,0.5,0.25,0,0,0,1,0,0.003809524
Rodney Hood,Toronto Raptors,G,0.409,0.333,0.909,1.8,0.4,0.1,0.3,0,0,1,0,0.00552017
Stanley Johnson,Toronto Raptors,F,0.467,0.345,0.828,2.3,1.2,0.76,0.34,0,1,0,0,0.003881279
Alex Len,Toronto Raptors,C,0.5,0.5,0.5,1.6,0.4,0.14,0.86,1,0,0,0,0.003549383
Kyle Lowry,Toronto Raptors,G,0.49,0.391,0.88,5.5,7.3,1.1,0.23,0,0,1,0,0.008236994
Patrick McCaw,Toronto Raptors,G,1,0,1,0.6,0.8,0.4,0,0,0,1,0,0.002487562
Norman Powell,Toronto Raptors,G,0.552,0.439,0.865,3,1.8,1.12,0.19,0,0,1,0,0.010745614
Pascal Siakam,Toronto Raptors,F,0.512,0.282,0.839,7.2,4.7,1.09,0.76,0,1,0,0,0.009737828
Matt Thomas,Toronto Raptors,G,0.333,0.415,0.857,0.8,0.3,0.08,0,0,0,1,0,0.006081081
Gary Trent Jr.,Toronto Raptors,G,0.471,0.389,0.813,3.6,1.6,1.25,0.25,0,0,1,0,0.008829365
Fred VanVleet,Toronto Raptors,G,0.422,0.366,0.885,4.2,6.1,1.71,0.8,0,0,1,0,0.00900277
Yuta Watanabe,Toronto Raptors,G,0.492,0.4,0.826,3.3,0.7,0.51,0.44,0,0,1,0,0.004975124
Paul Watson,Toronto Raptors,G,0.444,0.469,0.625,1.7,0.6,0.19,0.11,0,0,1,0,0.006212121
Udoka Azubuike,Utah Jazz,C,0.571,0,0.667,1.1,0,0.08,0.33,1,0,0,0,0.004065041
Bojan Bogdanovic,Utah Jazz,F,0.461,0.383,0.874,4,1.8,0.54,0.05,0,1,0,0,0.0083878
Jarrell Brantley,Utah Jazz,F,0.667,0.389,1,1,0.3,0.16,0.11,0,1,0,0,0.007777778
Jordan Clarkson,Utah Jazz,G,0.524,0.347,0.946,4,2.2,0.87,0.15,0,0,1,0,0.01124031
Mike Conley,Utah Jazz,G,0.487,0.415,0.854,3.3,5.7,1.33,0.18,0,0,1,0,0.009141583
Derrick Favors,Utah Jazz,F,0.626,0,0.74,5.5,0.8,0.51,1.04,0,1,0,0,0.006129032
Trent Forrest,Utah Jazz,G,0.5,0,1,0.5,1.3,0.25,0.06,0,0,1,0,0.00273224
Rudy Gobert,Utah Jazz,C,0.675,0,0.613,13.6,1.3,0.54,2.86,1,0,0,0,0.007717042
Shaquille Harrison,Utah Jazz,G,0.333,0,0.833,0.5,0.5,0.12,0,0,0,1,0,0.005050505
Elijah Hughes,Utah Jazz,G,0.4,0.429,0.75,0.6,0.4,0.09,0.09,0,0,1,0,0.010648148
Ersan Ilyasova,Utah Jazz,F,0.333,0.435,1,1.7,0.2,0.67,0.22,0,1,0,0,0.007427536
Joe Ingles,Utah Jazz,F,0.595,0.486,0.868,3.7,4.3,0.71,0.19,0,1,0,0,0.007469136
Donovan Mitchell,Utah Jazz,G,0.476,0.386,0.845,4.4,5.2,0.98,0.28,0,0,1,0,0.013173653
Juwan Morgan,Utah Jazz,F,0.7,0.273,0.429,1,0.3,0.19,0,0,1,0,0,0.003921569
Georges Niang,Utah Jazz,F,0.493,0.406,1,2.3,0.7,0.3,0.09,0,1,0,0,0.006712963
Royce O'Neale,Utah Jazz,F,0.591,0.368,0.857,6.9,2.5,0.75,0.48,0,1,0,0,0.003582555
Miye Oni,Utah Jazz,G,0.444,0.343,0.833,1.7,0.3,0.15,0.17,0,0,1,0,0.004022989
Matt Thomas,Utah Jazz,G,0.5,0.143,0,1.4,0.7,0.14,0,0,0,1,0,0.004597701
Deni Avdija,Washington Wizards,F,0.537,0.327,0.643,4.8,1.2,0.6,0.29,0,1,0,0,0.004487179
Bradley Beal,Washington Wizards,G,0.541,0.338,0.897,4.8,4.8,1.15,0.34,0,0,1,0,0.014642185
Jordan Bell,Washington Wizards,F,0.412,0,0,4.8,1.3,0.75,0.75,0,1,0,0,0.003535354
Davis Bertans,Washington Wizards,F,0.457,0.4,0.873,3,0.9,0.61,0.24,0,1,0,0,0.007619048
Isaac Bonga,Washington Wizards,G,0.5,0.286,0.5,1.8,0.6,0.26,0.23,0,0,1,0,0.002923977
Troy Brown Jr.,Washington Wizards,G,0.442,0.304,0.667,2.9,0.9,0.14,0.19,0,0,1,0,0.005231144
Thomas Bryant,Washington Wizards,C,0.714,0.429,0.667,6.1,1.5,0.4,0.8,1,0,0,0,0.008794588
Daniel Gafford,Washington Wizards,F,0.64,0,0.636,5.9,0.4,0.71,2.14,0,1,0,0,0.010693642
Anthony Gill,Washington Wizards,F,0.556,0.167,0.8,1.5,0.2,0.22,0.11,0,1,0,0,0.003459119
Rui Hachimura,Washington Wizards,F,0.51,0.316,0.759,5.7,1.5,0.85,0.09,0,1,0,0,0.007097792
Chandler Hutchison,Washington Wizards,F,0.423,0.2,0.778,3.8,0.8,0.5,0,0,1,0,0,0.005197133
Alex Len,Washington Wizards,C,0.665,0.235,0.602,4.2,0.9,0.32,1.1,1,0,0,0,0.007613169
Robin Lopez,Washington Wizards,C,0.654,0.278,0.703,4,0.9,0.25,0.57,1,0,0,0,0.007333333
Garrison Mathews,Washington Wizards,G,0.514,0.4,0.892,1.5,0.5,0.5,0.12,0,0,1,0,0.005617978
Raul Neto,Washington Wizards,G,0.498,0.362,0.833,2.2,2.1,1.1,0.08,0,0,1,0,0.00660066
Anzejs Pasecniks,Washington Wizards,C,0,0,0,1,1,0,0,1,0,0,0,0
Jerome Robinson,Washington Wizards,G,0.321,0.262,0.8,2.2,1.5,0.71,0.35,0,0,1,0,0.004562384
Ish Smith,Washington Wizards,G,0.446,0.393,0.571,3.3,4.3,0.64,0.21,0,0,1,0,0.005172414
Moritz Wagner,Washington Wizards,F,0.613,0.31,0.788,2.9,1.3,0.88,0.32,0,1,0,0,0.007888889
Russell Westbrook,Washington Wizards,G,0.477,0.312,0.624,10.9,10.8,1.24,0.37,0,0,1,0,0.010310734
Cassius Winston,Washington Wizards,G,0.357,0.467,0.833,0.6,0.6,0.13,0.06,0,0,1,0,0.006969697